Date,id,Ozone,CO,SO2,NO2,PM10,PM2
2021-12-04,0,23.012333333333334,2.1726666666666667,10.683666666666666,53.36933333333333,301.408275862069,182.32633333333334
2021-12-05,0,27.710689655172413,2.521333333333333,12.861666666666668,63.63166666666667,315.9855172413793,194.101
2021-12-06,0,22.166333333333334,1.5626666666666666,11.562666666666667,51.397666666666666,244.26266666666666,149.864
2021-12-07,0,19.934,1.3479999999999999,9.546333333333333,47.53551724137931,208.41833333333335,115.39466666666667
2021-12-08,0,23.621,1.5453333333333332,12.425517241379312,52.08896551724138,222.51366666666667,122.123
2021-12-09,0,21.130666666666666,1.774,11.180333333333332,60.08931034482758,288.839,168.601
2021-12-10,0,22.055,1.4966666666666666,10.359333333333332,58.77655172413793,262.6446666666667,157.93866666666665
2021-12-11,0,25.067999999999998,1.5336666666666665,10.723333333333333,56.08678571428572,226.03033333333332,129.02066666666667
2021-12-12,0,23.648333333333333,2.0825,10.705333333333334,62.12357142857143,257.17633333333333,152.95166666666668
2021-12-13,0,23.44333333333333,2.7976666666666667,12.274000000000001,64.21357142857143,349.3,221.59133333333332
2021-12-14,0,28.01066666666667,2.602,12.286333333333333,63.59321428571428,374.95533333333333,245.315
2021-12-15,0,25.710666666666665,1.8889655172413793,11.620000000000001,58.683928571428574,314.06965517241383,205.51333333333332
2021-12-16,0,23.771666666666665,1.627,12.009666666666666,66.73392857142856,353.8962068965517,234.882
2021-12-17,0,31.892333333333333,1.2193333333333334,12.648620689655173,50.80607142857143,254.67275862068965,160.88433333333333
2021-12-18,0,24.566333333333333,1.288,8.245666666666667,49.07285714285714,238.90551724137933,148.79500000000002
2021-12-19,0,29.010333333333335,1.3396666666666666,9.526,56.95035714285715,252.1551724137931,154.7086666666667
2021-12-20,0,25.987333333333332,1.8246666666666667,11.969666666666665,65.48464285714286,320.78344827586204,209.42166666666665
2021-12-21,0,23.130333333333333,2.9016666666666664,13.779666666666666,77.66357142857143,461.3327586206896,317.08
2021-12-22,0,20.880666666666666,2.6333333333333333,13.118,81.12964285714285,486.7282758620689,331.952
2021-12-23,0,25.833666666666666,3.058,13.327333333333334,82.92892857142856,545.4275862068965,376.024
2021-12-24,0,21.485333333333333,2.416333333333333,10.251,67.86107142857144,464.8503448275862,315.7873333333334
